ui_name;ingredient;alias;shop;generic_name;original_name;package_weight;unit;price_per_100;price_package;match_type;fuzzy_score;dedup;kcal
daktyl;daktyle medjool;;auchan;daktyle;Daktyle Medijule Jumbo Palma Deluxe 500 g;500.0;g;6.438;32.19;auto;100.0;shop_sku;282.0
dorsz;dorsz;;biedronka;dorsz;Marinero Dorsz atlantycki polędwica opak. ok. 500 g;500.0;g;9.99;49.95;auto;100.0;;82.0
drożdże;drożdże;;auchan;drożdże tradycyjne;Drożdże tradycyjne  Drożdże Babuni 100 g;100.0;g;1.48;1.48;auto;100.0;;105.0
drożdże;drożdże suszone;;biedronka;drożdże suszone instant;Bakello Drożdże suszone instant 8 g;8.0;g;12.375;0.99;auto;100.0;canonical_name;325.0
dynia;dynia;;biedronka;dynia;Dynia piżmowa;1500.0;g;0.6987;10.48;auto;100.0;;26.0
dynia;dynia kabocha;;biedronka;dynia;Dynia piżmowa;1500.0;g;0.6987;10.48;auto;100.0;shop_sku;26.0
dynia;dynia letnia;;biedronka;dynia;Dynia piżmowa;1500.0;g;0.6987;10.48;auto;100.0;shop_sku;26.0
dynia;dynia piżmowa;;biedronka;dynia;Dynia piżmowa;1500.0;g;0.6987;10.48;auto;100.0;shop_sku;26.0
dynia;dynia spaghetti;;biedronka;dynia;Dynia piżmowa;1500.0;g;0.6987;10.48;auto;100.0;shop_sku;26.0
dynia;dynia żółta;;biedronka;dynia;Dynia piżmowa;1500.0;g;0.6987;10.48;auto;100.0;shop_sku;26.0
dziki ryż;dziki ryż;;auchan;ryż;Ryż długoziarnisty Sollana 1 kg;1000.0;g;0.999;9.99;auto;100.0;;130.0
dziki ryż;ryż;;auchan;ryż;Ryż długoziarnisty Sollana 1 kg;1000.0;g;0.999;9.99;auto;100.0;shop_sku;130.0
dżem morelowy;dżem morelowy;;auchan;dżem morelowy niskosłodzony;Dżem morelowy niskosłodzony Łowicz 280 g;280.0;g;2.4571;6.88;auto;100.0;;120.0
erytrytol;erytrytol;;auchan;erytrytol;Erytrytol Big Nature 1 kg;1000.0;g;3.22;32.2;auto;100.0;;0.2
erytrytol;erytrytol pudrowy;;auchan;erytrytol;Erytrytol Big Nature 1 kg;1000.0;g;3.22;32.2;auto;100.0;shop_sku;0.2
erytrytol;erytrytol w proszku;;auchan;erytrytol;Erytrytol Big Nature 1 kg;1000.0;g;3.22;32.2;auto;100.0;shop_sku;0.2
fasola biała;fasola cannellini;;auchan;fasola;Fasola Piękny Jaś  Cenos 400 g;400.0;g;2.1975;8.79;auto;100.0;;132.0
fasola biała;fasola pinto;;auchan;fasola;Fasola Piękny Jaś  Cenos 400 g;400.0;g;2.1975;8.79;auto;100.0;shop_sku;132.0
fasola biała;fasola refried;;auchan;fasola;Fasola Piękny Jaś  Cenos 400 g;400.0;g;2.1975;8.79;auto;100.0;shop_sku;132.0
fasola biała;fasola smażona;;auchan;fasola;Fasola Piękny Jaś  Cenos 400 g;400.0;g;2.1975;8.79;auto;100.0;shop_sku;132.0
fasola czerwona;fasola czerwona;;auchan;fasola czerwona;Fasola czerwona konserwowa Auchan 400 g;240.0;g;1.2042;2.89;auto;100.0;;337.0
fasolka szparagowa;fasolka szparagowa;;auchan;fasolka szparagowa;BIO Fasolka szparagowa konserwowa  EkoWital 370 ml;215.0;g;3.3395;7.18;auto;100.0;;31.0
figi;figi;;auchan;figi suszone;Figi suszone Makar 500 g;500.0;g;4.5;22.5;auto;100.0;;249.0
filet z indyka;filet z indyka;pierś z indyka;biedronka;pierś z indyka;Kraina Wędlin Serdelki z filetem z indyka 300 g;300.0;g;2.4967;7.49;auto;100.0;;135.0
filet z indyka;indyk;pierś z indyka;biedronka;pierś z indyka;Kraina Wędlin Serdelki z filetem z indyka 300 g;300.0;g;2.4967;7.49;auto;100.0;shop_sku;135.0
filet z indyka;pierś z indyka;;biedronka;pierś z indyka;Kraina Wędlin Serdelki z filetem z indyka 300 g;300.0;g;2.4967;7.49;auto;100.0;shop_sku;135.0
fioletowe ziemniaki;fioletowe ziemniaki;;auchan;ziemniaki;Ziemniaki sałatkowe Auchan 2 kg;2000.0;g;0.2495;4.99;auto;100.0;;77.0
fioletowe ziemniaki;młode ziemniaki;;auchan;ziemniaki;Ziemniaki sałatkowe Auchan 2 kg;2000.0;g;0.2495;4.99;auto;100.0;shop_sku;77.0
fioletowe ziemniaki;ziemniak;;auchan;ziemniaki;Ziemniaki sałatkowe Auchan 2 kg;2000.0;g;0.2495;4.99;auto;94.1;shop_sku;77.0
fioletowe ziemniaki;ziemniaki;;auchan;ziemniaki;Ziemniaki sałatkowe Auchan 2 kg;2000.0;g;0.2495;4.99;auto;100.0;shop_sku;77.0
garam masala;garam masala;;auchan;garam masala;Garam masala Kotányi 20 g;20.0;g;14.4;2.88;auto;100.0;;307.0
gałka muszkatołowa;gałka muszkatołowa;;auchan;gałka muszkatołowa mielona;Gałka muszkatołowa mielona Prymat 10 g;10.0;g;15.8;1.58;auto;100.0;;525.0
goździki;goździki;;auchan;goździki mielone;Goździki mielone Kotányi 15 g;15.0;g;15.6;2.34;auto;100.0;;274.0
goździki;goździki mielone;;auchan;goździki mielone;Goździki mielone Kotányi 15 g;15.0;g;15.6;2.34;auto;100.0;shop_sku;274.0
granat;granat;;biedronka;granat;Granat;400.0;g;2.0;8.0;auto;100.0;;83.0
granola;granola;;auchan;granola;Granola ChocoLove One Day More 400 g;450.0;g;3.9533;17.79;auto;100.0;;471.0
groszek;groszek;;auchan;groszek;Groszek konserwowy Auchan 400 g;240.0;g;1.1042;2.65;auto;100.0;;81.0
groszek cukrowy;groszek cukrowy;;auchan;groszek cukrowy;Groszek cukrowy Auchan 450 g;450.0;g;2.2778;10.25;auto;100.0;;42.0
groszek zielony;groszek zielony;;auchan;groszek zielony;Groszek zielony Hortex 450 g;450.0;g;1.82;8.19;auto;100.0;;81.0
gruszka;gruszka;;auchan;gruszka;Gruszka Owoce  Auchan 1 kg;1000.0;g;0.699;6.99;auto;100.0;;57.0
grzyby;grzyby;;auchan;grzyby;Grzyby Shitake   Świeże Grzyby SPGJ 200 g;200.0;g;6.49;12.98;auto;100.0;;22.0
grzyby;grzyby portobello;;auchan;grzyby;Grzyby Shitake   Świeże Grzyby SPGJ 200 g;200.0;g;6.49;12.98;auto;100.0;shop_sku;22.0
grzyby shiitake;grzyby shiitake;;auchan;grzyby shiitake całe suszone;Grzyby Shiitake całe suszone House of Asia 30 g;30.0;g;23.9333;7.18;auto;100.0;;296.0
halloumi;halloumi;;biedronka;ser halloumi;Elios Ser halloumi 225 g;225.0;g;5.24;11.79;auto;100.0;;321.0
halloumi;ser halloumi;;biedronka;ser halloumi;Elios Ser halloumi 225 g;225.0;g;5.24;11.79;auto;100.0;shop_sku;321.0
harissa;harissa;;auchan;harissa mieszanka przypraw;Harissa mieszanka przypraw Kotányi 20 g;20.0;g;11.7;2.34;auto;100.0;;200.0
imbir;imbir;;auchan;imbir;Imbir korzeń Owoce  Auchan na wagę ok. 100 g;100.0;g;2.189;2.19;auto;100.0;;80.0
imbir;imbir mielony;;auchan;imbir mielony;Imbir mielony Prymat 15 g;15.0;g;10.5333;1.58;auto;100.0;canonical_name;335.0
jabłko;jabłko;;biedronka;jabłko;Jabłko polskie 1,5 kg;1500.0;g;0.3993;5.99;auto;100.0;;52.0
jagody;jagody;;auchan;jagody leśne;Jagody leśne  Hortex 280 g;280.0;g;5.9571;16.68;auto;100.0;;57.0
