skladnik_z_przepisu;produkt_sklepowy;oryginalna_nazwa;pkg;jednostka;cena_per_100;cena_pkg;sklep;fuzzy_score;kcal;bialko_g;tluszcz_g;wegle_g
makaron orzo;makaron orzo medium;Makaron orzo medium Primo Gusto 500 g;500.0;g;1.26;6.28;auchan;100.0;131.0;5.0;1.1;25.0
makaron penne;makaron penne;Makaron penne Podravka 500 g;500.0;g;1.2;5.98;auchan;100.0;131.0;5.0;1.1;25.0
makaron ramen;makaron ramen;BIO Makaron ramen  BioAsia 250 g;250.0;g;4.16;10.39;auchan;100.0;138.0;4.5;5.0;19.5
makaron ryżowy;makaron ryżowy;Makaron ryżowy Vermicelli House of Asia 200 g;200.0;g;3.07;6.14;auchan;100.0;109.0;1.8;0.2;24.9
makaron soba;makaron soba;Makaron soba Green Label 300 g;300.0;g;2.6;7.79;auchan;100.0;99.0;5.1;0.1;21.4
makaron z ciecierzycy;makaron z ciecierzycy świderki;Makaron z ciecierzycy świderki Novelle 250 g;250.0;g;2.47;6.18;auchan;100.0;119.0;7.0;1.5;21.0
maliny;maliny;Maliny Owoce  Auchan 125 g;125.0;g;8.31;10.39;auchan;100.0;52.0;1.2;0.7;11.9
mandarynka;mandarynka;Mandarynka;100.0;g;1.0;1.0;biedronka;100.0;53.0;0.8;0.3;13.3
mango;mango;Mango Owoce  Auchan sztuka;100.0;g;5.99;5.99;auchan;100.0;60.0;0.8;0.4;15.0
kapusta i marchew;marchew;Marchew;100.0;g;0.4;0.4;biedronka;100.0;41.0;0.9;0.2;9.6
marmolada pomarańczowa;marmolada pomarańczowa;Marmolada pomarańczowa Auchan 360 g;360.0;g;1.8;6.49;auchan;100.0;246.0;0.3;0.0;60.0
masło;masło;Masło ekstra Łaciate 200 g;200.0;g;3.44;6.89;auchan;100.0;717.0;0.9;81.1;0.1
masło orzechowe;masło orzechowe;Go Vege Masło orzechowe smooth 945 g;945.0;g;2.22;20.99;biedronka;100.0;588.0;25.0;50.0;20.0
maślanka w proszku;maślanka;Maślanka naturalna            Pewni Dobrego 1 kg;1000.0;g;0.4;3.98;auchan;100.0;40.0;3.3;0.9;4.8
melasa;melasa z owoców morwy;Melasa z owoców morwy Koska 380 g;380.0;g;5.0;18.99;auchan;100.0;290.0;0.0;0.0;72.0
melon;melon;Melon Galia;1200.0;g;1.3;15.59;biedronka;100.0;34.0;0.8;0.2;8.2
mielona wieprzowina;mielona wieprzowina;Mięso mielone wieprzowe z szynki Pewni Dobrego 400 g;400.0;g;3.25;12.99;auchan;100.0;263.0;16.9;21.0;0.0
mielona woowina;mielona wołowina;Mięso mielone wołowe Łuków 400 g;400.0;g;5.75;22.99;auchan;96.8;260.0;17.0;20.0;0.0
mielony kurczak;mielony kurczak;Mięso mielone z nogi kurczaka Auchan 400 g;400.0;g;3.65;14.59;auchan;100.0;143.0;17.0;8.0;0.0
mieszanka do coleslaw;mieszanka;BIO Mieszanka Studencka  FARMER'S SNACK 150 g;150.0;g;15.73;23.59;auchan;100.0;0.0;0.0;0.0;0.0
mąka bezglutenowa uniwersalna;mieszanka bezglutenowa uniwersalna;Mieszanka bezglutenowa ekstra uniwersalna Bezgluten 500 g;500.0;g;3.32;16.59;auchan;96.4;357.0;5.0;1.0;80.0
mieszanka suszonych owoców;mieszanka owoców suszonych;Mieszanka owoców suszonych Helio 1 kg;1000.0;g;3.9;39.0;auchan;100.0;250.0;2.0;0.5;60.0
mieszanka warzyw;mieszanka warzywna meksykańska;Mieszanka warzywna meksykańska Bonduelle 150 g;130.0;g;3.53;4.59;auchan;100.0;40.0;2.0;0.3;8.0
migdał;migdały;Migdały łuskane Auchan 500 g;500.0;g;4.8;23.99;auchan;92.3;579.0;21.2;49.9;21.6
mieszanka sałat;mix sałat z roszponką;Mix sałat z roszponką Warzywa Auchan 120 g;120.0;g;4.08;4.89;auchan;100.0;17.0;1.5;0.3;3.0
miód;miód wielokwiatowy;Miód wielokwiatowy Huzar 1 kg;1000.0;g;2.75;27.49;auchan;100.0;304.0;0.3;0.0;82.4
mięta;mięta;Mięta Auchan sztuka;100.0;g;7.29;7.29;auchan;100.0;44.0;3.3;0.7;8.4
mleko;mleko;Mleko UHT 3,2% Auchan 1l;1000.0;ml;0.33;3.28;auchan;100.0;61.0;3.2;3.3;4.8
mleko kokosowe;mleko kokosowe;Mleko kokosowe House of Asia 400 ml;400.0;ml;1.57;6.28;auchan;100.0;230.0;2.3;23.8;5.5
morele suszone;morele suszone;Morele suszone Auchan 200 g;200.0;g;5.5;10.99;auchan;100.0;241.0;3.4;0.5;62.6
mozzarella;mozzarella;Mozzarella OSM Skierniewice 250 g;250.0;g;6.2;15.49;auchan;100.0;280.0;27.5;17.1;3.1
mus jabłkowy;mus jabłkowy;Mus jabłkowy  Pewni Dobrego 700 g;700.0;g;1.11;7.79;auchan;100.0;68.0;0.2;0.1;17.9
musztarda;musztarda;Kamis Musztarda kremska 185 g;185.0;g;1.99;3.69;biedronka;100.0;66.0;3.7;3.3;6.0
sos do makaronu;mutti sos do makaronu;Mutti Sos do makaronu Arrabbiata z papryczkami chili 400 g;400.0;g;3.0;11.99;biedronka;100.0;40.0;1.5;1.0;6.0
mąka;mąka;Mąka La Pasta 100%   Molino Casillo  1 kg;1000.0;g;0.82;8.19;auchan;100.0;364.0;10.3;1.0;76.3
mąka migdałowa;mąka migdałowa;BIO Mąka migdałowa Bio Planet 100 g;100.0;g;16.59;16.59;auchan;100.0;579.0;21.2;49.9;21.6
